file,task,candidate,patch_applied,verified_solve,false_completion,failure_type,test_returncode,changed_files,duration_sec
results\stage10_replications\rep_04\agent_b\challenge_001.json,challenge_001,candidates\stage10_replications\rep_04\agent_b\patches\challenge_001.patch,False,False,,patch_did_not_apply,,,0.0512540340423584
results\stage10_replications\rep_04\agent_b\challenge_002.json,challenge_002,candidates\stage10_replications\rep_04\agent_b\patches\challenge_002.patch,True,True,False,,0,src/settings.py,0.5963704586029053
results\stage10_replications\rep_04\agent_b\challenge_003.json,challenge_003,candidates\stage10_replications\rep_04\agent_b\patches\challenge_003.patch,False,False,,patch_did_not_apply,,,0.04950118064880371
results\stage10_replications\rep_04\agent_b\challenge_004.json,challenge_004,candidates\stage10_replications\rep_04\agent_b\patches\challenge_004.patch,False,False,,patch_did_not_apply,,,0.052403926849365234
results\stage10_replications\rep_04\agent_b\challenge_005.json,challenge_005,candidates\stage10_replications\rep_04\agent_b\patches\challenge_005.patch,False,False,,patch_did_not_apply,,,0.0550234317779541
results\stage10_replications\rep_04\agent_b\challenge_006.json,challenge_006,candidates\stage10_replications\rep_04\agent_b\patches\challenge_006.patch,False,False,,patch_did_not_apply,,,0.05411267280578613
results\stage10_replications\rep_04\agent_b\challenge_007.json,challenge_007,candidates\stage10_replications\rep_04\agent_b\patches\challenge_007.patch,True,True,False,,0,src/http_headers.py,0.476238489151001
results\stage10_replications\rep_04\agent_b\challenge_008.json,challenge_008,candidates\stage10_replications\rep_04\agent_b\patches\challenge_008.patch,True,True,False,,0,src/history.py,0.5024657249450684
results\stage10_replications\rep_04\agent_b\challenge_009.json,challenge_009,candidates\stage10_replications\rep_04\agent_b\patches\challenge_009.patch,False,False,,patch_did_not_apply,,,0.048772573471069336
results\stage10_replications\rep_04\agent_b\challenge_010.json,challenge_010,candidates\stage10_replications\rep_04\agent_b\patches\challenge_010.patch,True,True,False,,0,src/backend_loader.py,0.4875447750091553
